	Lineage	Species	Graph	Taxid	Common_name	Order	Female_maturity_(yrs)	Mass_(g)	Notes_on_missing_life_history	Expected_lifespan	Highest_max	Curated_Q90	Curated_Q95	Curated_E90	Curated_E95	Curated_max	Curated_lq	Curated_females_max	Curated_males_max
301	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis bechsteinii	Myotis bechsteinii	Available	59462	Bechstein's bat	Chiroptera	0.98	10.5	Age at female sexual maturity filled using lineage; 	5.44	21.0	11.0	13.0	12.87	13.91	14.5	2.66		
302	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis dasycneme	Myotis dasycneme		159324	Pond bat	Chiroptera	0.98	15.0	Age at female sexual maturity filled using lineage; 	5.82	20.5	no age record available	no age record available	no age record available	no age record available	20.5	3.52		
303	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis daubentonii	Myotis daubentonii	Available	98922	Daubenton's bat	Chiroptera	2.0	8.5	Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	5.23	28.0	9.0	11.0	11.45	12.86	13.59	2.6		
304	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis emarginatus	Myotis emarginatus		109480	Geoffroy's bat	Chiroptera	1.25	11.0		5.49	22.7	no age record available	no age record available	no age record available	no age record available	22.7	4.13		
305	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis evotis	Myotis evotis		257883	Western long-eared myotis	Chiroptera	0.98	7.4	Age at female sexual maturity filled using lineage; 	5.1	22.0	no age record available	no age record available	no age record available	no age record available	22.0	4.31		2.2
306	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis grisescens	Myotis grisescens		384635	Gray myotis	Chiroptera	1.25	9.25		5.32	16.5	no age record available	no age record available	no age record available	no age record available	16.5	3.1	16.5	
307	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis lucifugus	Myotis lucifugus		59463	Little brown bat	Chiroptera	0.57	10.0		5.4	34.0	no q90 record available	no q95 record available	no e90 record available	no e95 record available	34.0	6.3	1.48	5.4
308	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis myotis	Myotis myotis	Available	51298	Mouse-eared bat	Chiroptera	1.37	28.55	Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	6.56	37.1	12.0	14.15	15.02	16.94	17.87	2.72		
309	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis mystacinus	Myotis mystacinus		109479	Whiskered bat	Chiroptera	1.0	5.3		4.79	24.0	no age record available	no age record available	no age record available	no age record available	24.0	5.01		
310	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis nattereri	Myotis nattereri		109481	Natterer's bat	Chiroptera	0.98	7.5	Age at female sexual maturity filled using lineage; 	5.11	23.7	no age record available	no age record available	no age record available	no age record available	23.7	4.63		
311	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis nigricans	Myotis nigricans		153286	Black myotis	Chiroptera	0.27	4.2		4.59	7.0	no age record available	no age record available	no age record available	no age record available	7.0	1.52		
312	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis sodalis	Myotis sodalis		385036	Indiana bat	Chiroptera	0.98	7.7		5.14	20.0	no age record available	no age record available	no age record available	no age record available	20.0	3.89		13.8
313	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis thysanodes	Myotis thysanodes		153287	Fringed myotis	Chiroptera	0.98	6.0	Age at female sexual maturity filled using lineage; 	4.91	18.3	no age record available	no age record available	no age record available	no age record available	18.3	3.73		18.3
314	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis vivesi	Myotis vivesi		233766	Fish-eating bat	Chiroptera	1.04	25.0		6.4	10.0	no age record available	no age record available	no age record available	no age record available	10.0	1.56		
315	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis volans	Myotis volans		159335	Long-legged myotis	Chiroptera	0.42	7.0		5.05	21.0	no age record available	no age record available	no age record available	no age record available	21.0	4.16		2.1
316	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Nyctalus,Nyctalus noctula	Nyctalus noctula		51300	Noctule	Chiroptera	0.25	27.75		6.52	12.0	no age record available	no age record available	no age record available	no age record available	12.0	1.84		
317	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Nycticeius,Nycticeius humeralis	Nycticeius humeralis		27670	Evening bat	Chiroptera	1.0	9.75		5.37	6.0	no age record available	no age record available	no age record available	no age record available	6.0	1.12		
